package	format	vectorisation	merge	time
base	.txt	for loop	do.call	1.16920280456543
base	.txt	for loop	do.call	1.15261006355286
base	.txt	for loop	do.call	1.15868997573853
base	.txt	for loop	do.call	1.16787099838257
base	.txt	for loop	do.call	1.14925217628479
base	.txt	for loop	do.call	1.15515780448914
base	.txt	for loop	do.call	1.17010807991028
base	.txt	for loop	do.call	1.15134406089783
base	.txt	for loop	do.call	1.23936486244202
base	.txt	for loop	do.call	1.15511703491211
base	.txt	for loop	do.call	1.17583799362183
base	.txt	for loop	do.call	1.15495300292969
base	.txt	for loop	do.call	1.15767407417297
base	.txt	for loop	do.call	1.14250898361206
base	.txt	for loop	do.call	1.1858389377594
base	.txt	for loop	do.call	1.17315316200256
base	.txt	for loop	do.call	1.16230702400208
base	.txt	for loop	do.call	1.25544714927673
base	.txt	for loop	do.call	1.14696788787842
base	.txt	for loop	do.call	1.1586709022522
base	.txt	for loop	do.call	1.16240000724792
base	.txt	for loop	do.call	1.16491317749023
base	.txt	for loop	do.call	1.24593877792358
base	.txt	for loop	do.call	1.24640107154846
base	.txt	for loop	do.call	1.16207909584045
base	.txt	for loop	do.call	1.18370389938355
base	.txt	for loop	do.call	1.24008107185364
base	.txt	for loop	do.call	1.14998602867126
base	.txt	for loop	do.call	1.17550897598267
base	.txt	for loop	do.call	1.16402101516724
base	.txt	for loop	do.call	1.15785098075867
base	.txt	for loop	do.call	1.16024994850159
base	.txt	for loop	do.call	1.18526697158813
base	.txt	for loop	do.call	1.17383694648743
base	.txt	for loop	do.call	1.24509501457214
base	.txt	for loop	do.call	1.16040110588074
base	.txt	for loop	do.call	1.19717502593994
base	.txt	for loop	do.call	1.186518907547
base	.txt	for loop	do.call	1.18765902519226
base	.txt	for loop	do.call	1.25563812255859
base	.txt	for loop	do.call	1.17259788513184
base	.txt	for loop	do.call	1.16687297821045
base	.txt	for loop	do.call	1.17036199569702
base	.txt	for loop	do.call	1.32307195663452
base	.txt	for loop	do.call	1.14025497436523
base	.txt	for loop	do.call	1.16130614280701
base	.txt	for loop	do.call	1.17691898345947
base	.txt	for loop	do.call	1.17842197418213
base	.txt	for loop	do.call	1.15429186820984
base	.txt	for loop	do.call	1.1728630065918
base	.txt	for loop	do.call	1.15734815597534
base	.txt	for loop	do.call	1.16907000541687
base	.txt	for loop	do.call	1.15687584877014
base	.txt	for loop	do.call	1.22545099258423
base	.txt	for loop	do.call	1.15402913093567
base	.txt	for loop	do.call	1.16442799568176
base	.txt	for loop	do.call	1.25810194015503
base	.txt	for loop	do.call	1.16889810562134
base	.txt	for loop	do.call	1.16738295555115
base	.txt	for loop	do.call	1.14709186553955
base	.txt	for loop	do.call	1.17853713035584
base	.txt	for loop	do.call	1.1640739440918
base	.txt	for loop	do.call	1.26514410972595
base	.txt	for loop	do.call	1.16392183303833
base	.txt	for loop	do.call	1.15837597846985
base	.txt	for loop	do.call	1.16978216171265
base	.txt	for loop	do.call	1.20575594902039
base	.txt	for loop	do.call	1.30448007583618
base	.txt	for loop	do.call	1.27766585350037
